id,osm_id,latitude,longitude
577,4381835600,18.765772,73.3916047
578,4381849830,18.7621349,73.3945407
579,4381849831,18.7621754,73.3940426
580,4381849834,18.7604287,73.3937384
581,4381849835,18.7592916,73.3884334
582,4381849842,18.7593247,73.3872441
583,4381849843,18.7576707,73.3868798
584,4381849844,18.7586402,73.3890163
585,4381849849,18.7584636,73.3904621
586,4381849851,18.7571056,73.3907419
587,4381849853,18.7564342,73.3908355
588,4381849855,18.7549042,73.3901252
589,4381849856,18.7585097,73.3897058
590,4381849858,18.7571277,73.3898208
591,4381849861,18.758585,73.391115
592,4381849862,18.7579242,73.3905894
593,4381849863,18.7579794,73.3909835
594,4381849864,18.7569947,73.3907722
595,4381849865,18.7571014,73.3913728
596,4381849867,18.758281,73.3916701
597,4381849894,18.7579124,73.3930857
598,4381849895,18.7566542,73.3918443
599,4381849911,18.7521591,73.3902791
600,4381849913,18.7565316,73.3956552
601,4381849918,18.7559625,73.3956965
602,4381849920,18.7554267,73.3957141
603,4381849921,18.7554727,73.396809
604,4381849923,18.757088,73.3956835
605,4381849925,18.7557743,73.395096
606,4381849926,18.7547375,73.3970422
607,4381849929,18.7535155,73.3974248
608,4381849930,18.7548739,73.3979781
609,4381849943,18.7548066,73.398781
610,4381849944,18.7544187,73.3971497
611,4381849945,18.7545123,73.397982
612,4381849946,18.748367,73.4072384
613,4381849947,18.7463302,73.4089626
614,4381849948,18.7451303,73.4089484
615,4381849949,18.7459614,73.4089582
616,4381849950,18.7459608,73.4091746
617,4381849951,18.7464441,73.4069524
618,4381849952,18.7463436,73.4076177
619,4381849954,18.7445668,73.4074867
620,4381849955,18.7447489,73.4090331
621,4381849956,18.7471639,73.407144
622,4381849957,18.7470569,73.4079868
623,4381849958,18.7462838,73.4123036
624,4381849962,18.7441505,73.4127372
625,4381849963,18.745354,73.4121426
626,4381849965,18.7444482,73.4121074
627,4381849966,18.7444373,73.4127102
628,4381849967,18.7455748,73.4130054
629,4381849969,18.7456699,73.4142185
630,4381849974,18.7457535,73.4182357
631,4381849975,18.7457535,73.4175319
632,4381849976,18.7457085,73.4186311
633,4381849977,18.7462178,73.4191215
634,4381849978,18.7448567,73.4178272
635,4381849986,18.7449746,73.4209642
636,4381849987,18.7469892,73.4163851
637,4381849991,18.7460203,73.416188
638,4381849992,18.7468396,73.4168485
639,4381849995,18.7460414,73.4167351
640,4381849996,18.7461066,73.4176375
641,4381850000,18.7463743,73.4186581
642,4381850002,18.7461518,73.4190702
643,4381850014,18.7440609,73.4229809
644,4381858437,18.7443081,73.418615
645,4381858439,18.7437239,73.4193904
646,4381858443,18.7427452,73.419916
647,4381858444,18.7434169,73.4200942
648,4381858445,18.7418608,73.4195464
649,4381858447,18.7438437,73.4205371
650,4381858449,18.7444953,73.4217076
651,4381858450,18.7445253,73.4202682
652,4381858452,18.7446451,73.420893
653,4381858454,18.7445702,73.4214387
654,4381858460,18.7437763,73.42427
655,4381858464,18.7432821,73.4269589
656,4381858466,18.7438208,73.4287684
657,4381858471,18.7401245,73.4282268
658,4381858472,18.7422036,73.4278447
659,4381858473,18.7403105,73.4274751
660,4381858474,18.7410727,73.4279633
661,4381858475,18.7402283,73.4278073
662,4381858476,18.7410428,73.4265081
663,4381858477,18.740865,73.4275834
664,4381858478,18.7415071,73.4269035
665,4381858479,18.7405088,73.4266736
666,4381869432,18.7425569,73.4271084
667,4381869433,18.742975,73.4278368
668,4381869434,18.7429983,73.426969
669,4381869435,18.7429299,73.4257022
670,4381869436,18.7434693,73.4257113
671,4381869437,18.7414186,73.4257438
672,4381869438,18.7407215,73.4257131
673,4381869439,18.7435817,73.4252391
674,4381869441,18.7423085,73.4249897
675,4381869442,18.7414036,73.4250752
676,4381869443,18.7416331,73.4250541
677,4381869444,18.7416281,73.4257336
678,4381869445,18.7418284,73.4250321
679,4381869446,18.7418352,73.4257253
680,4381869448,18.7423984,73.425713
681,4381869449,18.7424133,73.4263499
682,4381869450,18.7421249,73.4246873
683,4381869452,18.7410198,73.4246785
684,4381869453,18.7439265,73.4234054
685,4381869459,18.7429301,73.4238508
686,4381869464,18.741217,73.4240117
687,4381869465,18.7430199,73.4247287
688,4381869467,18.7432248,73.42519
689,4381869470,18.7411542,73.4242404
690,4381869471,18.7424379,73.4231292
691,4381869473,18.7418787,73.4233837
